CaseId,AccountId,AccountName,CaseType,Priority,Status,Product,CreatedDate,ResolvedDate,Resolution_Days,SLA_Respected,TechnicianAssigned,Region,Description
CAS00001,ACC0015,MBDA India,Technical Issue,Medium,Closed,Rafale F3-R,2019-11-08,2019-12-24,46.0,False,Thomas Laurent,Europe,Avionics software update required
CAS00002,ACC0028,Belgian Air Force,Warranty Claim,Medium,Closed,Rafale F4,2021-04-09,2021-06-10,62.0,False,Julie Petit,Europe,Spare part not delivered on time
CAS00003,ACC0025,Malaysian RMAF,Warranty Claim,High,In Progress,MRO Contract Rafale,2021-08-05,,,,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00004,ACC0028,Belgian Air Force,Training Request,Medium,Closed,Rafale F4,2023-09-11,2023-09-26,15.0,True,Pierre Renard,Europe,Engine vibration anomaly reported during training
CAS00005,ACC0023,Egyptian Air Force,Warranty Claim,High,Escalated,Falcon 8X,2021-07-19,,,,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00006,ACC0017,GE Aviation India,Warranty Claim,Medium,Closed,MRO Contract Rafale,2022-10-01,2023-03-26,176.0,False,Luc Fabre,Asia,Spare part not delivered on time
CAS00007,ACC0024,Royal Saudi Air Force,Technical Issue,High,Closed,Falcon 8X,2019-05-22,2019-11-06,168.0,False,Julie Petit,Middle East,Structural inspection due — spare needed
CAS00008,ACC0002,Indian Navy,Spare Part Urgent,High,In Progress,Falcon 6X,2022-07-18,,,,Claire Vidal,Africa,Maintenance contract renewal query
CAS00009,ACC0008,Croatian Air Force,Delivery Delay,Critical,Closed,Falcon 6X,2021-07-07,2021-08-28,52.0,False,Claire Vidal,Europe,Maintenance contract renewal query
CAS00010,ACC0010,Safran Group,Technical Issue,Medium,Closed,MRO Contract Rafale,2021-03-03,2021-03-17,14.0,True,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00011,ACC0013,Tata Advanced Systems,Technical Issue,Medium,Closed,Rafale F4,2021-12-15,2022-04-09,115.0,False,Luc Fabre,Europe,Avionics software update required
CAS00012,ACC0001,Indian Air Force,Delivery Delay,High,Closed,MRO Contract Rafale,2022-01-09,2022-02-07,29.0,True,Pierre Renard,Asia,Structural inspection due — spare needed
CAS00013,ACC0029,Finnish Air Force,Spare Part Urgent,Medium,Closed,Rafale F3-R,2021-07-06,2021-12-14,161.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00014,ACC0027,Swiss Air Force,Training Request,Medium,Closed,Falcon 6X,2023-03-13,2023-04-10,28.0,True,Claire Vidal,Asia,Engine vibration anomaly reported during training
CAS00015,ACC0012,Dassault Reliance Aerospace,Documentation,Medium,Closed,Rafale F4,2020-01-22,2020-03-23,61.0,False,Luc Fabre,Africa,Maintenance contract renewal query
CAS00016,ACC0003,Armée de l'Air française,Spare Part Urgent,Critical,Closed,Falcon 6X,2019-08-23,2019-11-24,93.0,False,Julie Petit,Europe,Structural inspection due — spare needed
CAS00017,ACC0007,Indonesian Air Force,Training Request,Medium,Closed,Falcon 6X,2021-10-10,2021-10-29,19.0,True,Claire Vidal,Asia,Maintenance contract renewal query
CAS00018,ACC0016,Reliance Defence,Documentation,High,Closed,Falcon 6X,2019-04-25,2019-06-30,66.0,False,Claire Vidal,Middle East,Maintenance contract renewal query
CAS00019,ACC0023,Egyptian Air Force,Delivery Delay,Low,Closed,Falcon 8X,2022-04-27,2022-07-27,91.0,False,Julie Petit,Europe,Spare part not delivered on time
CAS00020,ACC0030,Kuwait Air Force,Training Request,Low,Closed,Falcon 6X,2023-02-18,2023-08-07,170.0,False,Claire Vidal,Europe,Engine vibration anomaly reported during training
CAS00021,ACC0019,Collins Aerospace India,Training Request,Medium,Closed,Falcon 8X,2021-12-04,2021-12-08,4.0,True,Thomas Laurent,Europe,Spare part not delivered on time
CAS00022,ACC0021,Boeing India,Documentation,Low,Closed,Falcon 6X,2021-01-16,2021-06-14,149.0,False,Luc Fabre,Asia,Spare part not delivered on time
CAS00023,ACC0030,Kuwait Air Force,Technical Issue,Medium,Closed,MRO Contract Rafale,2023-04-18,2023-05-05,17.0,True,Luc Fabre,Europe,Maintenance contract renewal query
CAS00024,ACC0004,UAE Air Force,Training Request,Low,Closed,MRO Contract Rafale,2019-04-19,2019-06-15,57.0,False,Luc Fabre,Middle East,Structural inspection due — spare needed
CAS00025,ACC0009,Airbus Group,Documentation,Medium,Closed,Rafale F3-R,2019-01-15,2019-02-02,18.0,True,Pierre Renard,Europe,Spare part not delivered on time
CAS00026,ACC0016,Reliance Defence,Technical Issue,High,Closed,MRO Contract Rafale,2023-07-22,2023-12-05,136.0,False,Thomas Laurent,Middle East,Avionics software update required
CAS00027,ACC0027,Swiss Air Force,Technical Issue,High,Closed,MRO Contract Rafale,2024-07-03,2024-07-16,13.0,True,Thomas Laurent,Asia,Spare part not delivered on time
CAS00028,ACC0023,Egyptian Air Force,Technical Issue,Medium,Closed,Falcon 6X,2023-04-29,2023-05-25,26.0,True,Julie Petit,Europe,Avionics software update required
CAS00029,ACC0010,Safran Group,Training Request,Medium,Escalated,Falcon 8X,2023-11-13,,,,Julie Petit,Europe,Documentation missing for customs
CAS00030,ACC0013,Tata Advanced Systems,Delivery Delay,Critical,Closed,Rafale F3-R,2020-04-04,2020-05-17,43.0,False,Pierre Renard,Europe,Documentation missing for customs
CAS00031,ACC0013,Tata Advanced Systems,Documentation,Medium,Closed,Falcon 8X,2021-09-10,2022-02-03,146.0,False,Julie Petit,Europe,Maintenance contract renewal query
CAS00032,ACC0020,Rolls-Royce India,Training Request,Medium,Closed,Falcon 6X,2020-12-16,2020-12-29,13.0,True,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00033,ACC0009,Airbus Group,Warranty Claim,Medium,Closed,MRO Contract Rafale,2023-09-01,2023-10-20,49.0,False,Pierre Renard,Europe,Maintenance contract renewal query
CAS00034,ACC0004,UAE Air Force,Spare Part Urgent,Medium,Closed,Falcon 8X,2024-06-30,2024-09-06,68.0,False,Thomas Laurent,Middle East,Avionics software update required
CAS00035,ACC0020,Rolls-Royce India,Spare Part Urgent,Medium,Closed,Falcon 8X,2021-09-04,2022-02-09,158.0,False,Julie Petit,Europe,Documentation missing for customs
CAS00036,ACC0007,Indonesian Air Force,Spare Part Urgent,Medium,Closed,Rafale F3-R,2021-08-21,2022-01-23,155.0,False,Pierre Renard,Asia,Documentation missing for customs
CAS00037,ACC0005,Hellenic Air Force,Delivery Delay,Critical,Closed,Falcon 6X,2019-05-28,2019-11-01,157.0,False,Claire Vidal,Europe,Avionics software update required
CAS00038,ACC0021,Boeing India,Training Request,High,Open,MRO Contract Rafale,2020-05-19,,,,Thomas Laurent,Asia,Structural inspection due — spare needed
CAS00039,ACC0019,Collins Aerospace India,Documentation,Critical,Closed,Rafale F3-R,2021-02-13,2021-04-16,62.0,False,Pierre Renard,Europe,Structural inspection due — spare needed
CAS00040,ACC0016,Reliance Defence,Documentation,Medium,Open,MRO Contract Rafale,2021-06-06,,,,Thomas Laurent,Middle East,Documentation missing for customs
CAS00041,ACC0008,Croatian Air Force,Delivery Delay,Medium,Closed,Rafale F4,2021-08-22,2021-11-15,85.0,False,Luc Fabre,Europe,Spare part not delivered on time
CAS00042,ACC0020,Rolls-Royce India,Warranty Claim,Medium,Closed,Rafale F3-R,2022-02-07,2022-06-13,126.0,False,Luc Fabre,Europe,Spare part not delivered on time
CAS00043,ACC0018,Honeywell India,Spare Part Urgent,High,Closed,Falcon 8X,2020-10-07,2021-03-27,171.0,False,Luc Fabre,Europe,Avionics software update required
CAS00044,ACC0008,Croatian Air Force,Spare Part Urgent,High,Closed,Falcon 6X,2020-11-07,2020-12-13,36.0,False,Thomas Laurent,Europe,Structural inspection due — spare needed
CAS00045,ACC0014,HAL (Hindustan Aeronautics),Delivery Delay,Medium,Closed,Falcon 8X,2022-10-06,2022-10-09,3.0,True,Thomas Laurent,Middle East,Documentation missing for customs
CAS00046,ACC0027,Swiss Air Force,Documentation,Medium,Closed,Falcon 6X,2019-08-16,2019-12-18,124.0,False,Julie Petit,Asia,Engine vibration anomaly reported during training
CAS00047,ACC0015,MBDA India,Documentation,High,Closed,Falcon 8X,2022-05-16,2022-06-18,33.0,False,Claire Vidal,Europe,Spare part not delivered on time
CAS00048,ACC0012,Dassault Reliance Aerospace,Technical Issue,Critical,Closed,Falcon 8X,2021-10-11,2022-04-08,179.0,False,Thomas Laurent,Africa,Documentation missing for customs
CAS00049,ACC0002,Indian Navy,Delivery Delay,Critical,Closed,Falcon 8X,2020-07-30,2020-11-25,118.0,False,Julie Petit,Africa,Engine vibration anomaly reported during training
CAS00050,ACC0024,Royal Saudi Air Force,Warranty Claim,Medium,Closed,Falcon 8X,2021-02-09,2021-08-08,180.0,False,Thomas Laurent,Middle East,Spare part not delivered on time
CAS00051,ACC0029,Finnish Air Force,Spare Part Urgent,High,Escalated,Falcon 6X,2021-11-16,,,,Thomas Laurent,Europe,Engine vibration anomaly reported during training
CAS00052,ACC0026,Singapore Air Force,Spare Part Urgent,Medium,Closed,Rafale F4,2022-07-15,2022-10-26,103.0,False,Julie Petit,Middle East,Maintenance contract renewal query
CAS00053,ACC0030,Kuwait Air Force,Technical Issue,Medium,Closed,Rafale F3-R,2022-01-21,2022-02-18,28.0,True,Luc Fabre,Europe,Documentation missing for customs
CAS00054,ACC0005,Hellenic Air Force,Training Request,High,Closed,Rafale F4,2024-06-16,2024-11-15,152.0,False,Claire Vidal,Europe,Documentation missing for customs
CAS00055,ACC0027,Swiss Air Force,Technical Issue,High,Escalated,Rafale F3-R,2020-09-07,,,,Julie Petit,Asia,Structural inspection due — spare needed
CAS00056,ACC0029,Finnish Air Force,Documentation,High,Closed,Rafale F4,2023-08-30,2024-02-06,160.0,False,Julie Petit,Europe,Spare part not delivered on time
CAS00057,ACC0012,Dassault Reliance Aerospace,Delivery Delay,Medium,Closed,MRO Contract Rafale,2024-01-11,2024-04-03,83.0,False,Luc Fabre,Africa,Engine vibration anomaly reported during training
CAS00058,ACC0003,Armée de l'Air française,Delivery Delay,High,Closed,Falcon 8X,2022-08-23,2022-09-02,10.0,True,Thomas Laurent,Europe,Engine vibration anomaly reported during training
CAS00059,ACC0021,Boeing India,Warranty Claim,Low,Closed,Rafale F4,2020-01-14,2020-04-29,106.0,False,Thomas Laurent,Asia,Spare part not delivered on time
CAS00060,ACC0010,Safran Group,Training Request,Low,Closed,Rafale F3-R,2022-10-01,2022-12-13,73.0,False,Pierre Renard,Europe,Engine vibration anomaly reported during training
CAS00061,ACC0027,Swiss Air Force,Training Request,Medium,Closed,Rafale F4,2021-08-02,2021-10-06,65.0,False,Pierre Renard,Asia,Maintenance contract renewal query
CAS00062,ACC0008,Croatian Air Force,Technical Issue,Medium,Open,Falcon 8X,2022-03-11,,,,Pierre Renard,Europe,Documentation missing for customs
CAS00063,ACC0013,Tata Advanced Systems,Warranty Claim,Low,Closed,Falcon 8X,2023-04-18,2023-09-25,160.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00064,ACC0002,Indian Navy,Spare Part Urgent,Medium,Closed,Rafale F3-R,2019-07-27,2019-09-29,64.0,False,Luc Fabre,Africa,Avionics software update required
CAS00065,ACC0019,Collins Aerospace India,Delivery Delay,High,Open,Falcon 8X,2023-01-04,,,,Luc Fabre,Europe,Maintenance contract renewal query
CAS00066,ACC0006,Qatar Emiri Air Force,Warranty Claim,Medium,Closed,Falcon 6X,2019-01-02,2019-02-14,43.0,False,Claire Vidal,Middle East,Avionics software update required
CAS00067,ACC0003,Armée de l'Air française,Warranty Claim,Medium,Closed,Rafale F3-R,2023-04-18,2023-09-21,156.0,False,Julie Petit,Europe,Maintenance contract renewal query
CAS00068,ACC0030,Kuwait Air Force,Delivery Delay,Medium,Closed,Falcon 6X,2022-10-07,2022-11-26,50.0,False,Thomas Laurent,Europe,Documentation missing for customs
CAS00069,ACC0024,Royal Saudi Air Force,Warranty Claim,Low,Escalated,Rafale F3-R,2019-02-20,,,,Claire Vidal,Middle East,Avionics software update required
CAS00070,ACC0023,Egyptian Air Force,Documentation,Medium,Closed,Falcon 8X,2022-08-01,2022-11-22,113.0,False,Thomas Laurent,Europe,Structural inspection due — spare needed
CAS00071,ACC0006,Qatar Emiri Air Force,Documentation,Low,Closed,MRO Contract Rafale,2019-09-01,2019-10-17,46.0,False,Pierre Renard,Middle East,Spare part not delivered on time
CAS00072,ACC0003,Armée de l'Air française,Documentation,High,Closed,MRO Contract Rafale,2020-04-20,2020-05-17,27.0,True,Julie Petit,Europe,Structural inspection due — spare needed
CAS00073,ACC0009,Airbus Group,Technical Issue,High,Open,Rafale F4,2024-08-25,,,,Julie Petit,Europe,Documentation missing for customs
CAS00074,ACC0023,Egyptian Air Force,Delivery Delay,Medium,Closed,Falcon 8X,2023-06-14,2023-11-10,149.0,False,Pierre Renard,Europe,Avionics software update required
CAS00075,ACC0011,Thales Group,Technical Issue,Low,Escalated,Rafale F3-R,2020-09-22,,,,Luc Fabre,Asia,Avionics software update required
CAS00076,ACC0010,Safran Group,Spare Part Urgent,Low,Escalated,Falcon 8X,2019-06-25,,,,Claire Vidal,Europe,Avionics software update required
CAS00077,ACC0020,Rolls-Royce India,Training Request,Medium,Closed,MRO Contract Rafale,2024-08-23,2025-01-04,134.0,False,Claire Vidal,Europe,Structural inspection due — spare needed
CAS00078,ACC0003,Armée de l'Air française,Technical Issue,High,Closed,Falcon 6X,2020-08-24,2021-01-25,154.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00079,ACC0011,Thales Group,Warranty Claim,Medium,Closed,MRO Contract Rafale,2020-02-21,2020-05-11,80.0,False,Luc Fabre,Asia,Documentation missing for customs
CAS00080,ACC0007,Indonesian Air Force,Documentation,Critical,Closed,Rafale F3-R,2020-09-04,2021-01-26,144.0,False,Luc Fabre,Asia,Spare part not delivered on time
CAS00081,ACC0002,Indian Navy,Technical Issue,Medium,Closed,MRO Contract Rafale,2022-07-12,2022-09-06,56.0,False,Pierre Renard,Africa,Spare part not delivered on time
CAS00082,ACC0010,Safran Group,Documentation,High,Closed,Falcon 8X,2021-01-19,2021-01-23,4.0,True,Thomas Laurent,Europe,Spare part not delivered on time
CAS00083,ACC0013,Tata Advanced Systems,Delivery Delay,Low,Closed,Rafale F4,2024-05-06,2024-10-15,162.0,False,Luc Fabre,Europe,Spare part not delivered on time
CAS00084,ACC0011,Thales Group,Delivery Delay,High,Closed,Falcon 6X,2021-10-08,2021-12-12,65.0,False,Thomas Laurent,Asia,Engine vibration anomaly reported during training
CAS00085,ACC0027,Swiss Air Force,Warranty Claim,Medium,Closed,MRO Contract Rafale,2024-01-10,2024-01-18,8.0,True,Pierre Renard,Asia,Maintenance contract renewal query
CAS00086,ACC0021,Boeing India,Documentation,Medium,Closed,Falcon 6X,2024-07-14,2024-11-01,110.0,False,Claire Vidal,Asia,Engine vibration anomaly reported during training
CAS00087,ACC0018,Honeywell India,Technical Issue,Critical,Closed,Falcon 8X,2024-08-06,2024-09-10,35.0,False,Pierre Renard,Europe,Documentation missing for customs
CAS00088,ACC0027,Swiss Air Force,Delivery Delay,Medium,In Progress,Rafale F3-R,2019-08-01,,,,Luc Fabre,Asia,Maintenance contract renewal query
CAS00089,ACC0022,Lockheed Martin India,Warranty Claim,Medium,Closed,Rafale F4,2024-07-12,2024-08-19,38.0,False,Claire Vidal,Africa,Documentation missing for customs
CAS00090,ACC0006,Qatar Emiri Air Force,Training Request,Medium,Closed,MRO Contract Rafale,2023-11-06,2023-11-23,17.0,True,Julie Petit,Middle East,Maintenance contract renewal query
CAS00091,ACC0007,Indonesian Air Force,Documentation,Low,Closed,Rafale F4,2020-12-29,2021-04-20,112.0,False,Julie Petit,Asia,Structural inspection due — spare needed
CAS00092,ACC0011,Thales Group,Technical Issue,Low,Closed,Rafale F4,2021-01-28,2021-07-16,169.0,False,Julie Petit,Asia,Structural inspection due — spare needed
CAS00093,ACC0007,Indonesian Air Force,Documentation,High,Closed,Falcon 6X,2023-04-11,2023-09-30,172.0,False,Julie Petit,Asia,Maintenance contract renewal query
CAS00094,ACC0014,HAL (Hindustan Aeronautics),Warranty Claim,High,Closed,Rafale F4,2019-03-29,2019-04-09,11.0,True,Claire Vidal,Middle East,Avionics software update required
CAS00095,ACC0025,Malaysian RMAF,Spare Part Urgent,Medium,Escalated,Rafale F4,2021-08-04,,,,Luc Fabre,Europe,Engine vibration anomaly reported during training
CAS00096,ACC0024,Royal Saudi Air Force,Delivery Delay,Medium,Closed,Rafale F4,2023-10-13,2024-03-13,152.0,False,Claire Vidal,Middle East,Spare part not delivered on time
CAS00097,ACC0010,Safran Group,Technical Issue,Low,Closed,Rafale F3-R,2024-03-30,2024-06-27,89.0,False,Thomas Laurent,Europe,Avionics software update required
CAS00098,ACC0012,Dassault Reliance Aerospace,Warranty Claim,Medium,Closed,MRO Contract Rafale,2019-01-26,2019-06-17,142.0,False,Julie Petit,Africa,Structural inspection due — spare needed
CAS00099,ACC0026,Singapore Air Force,Warranty Claim,Medium,Escalated,Falcon 6X,2023-06-25,,,,Thomas Laurent,Middle East,Spare part not delivered on time
CAS00100,ACC0025,Malaysian RMAF,Warranty Claim,Low,Closed,Falcon 8X,2019-10-17,2019-10-20,3.0,True,Luc Fabre,Europe,Structural inspection due — spare needed
CAS00101,ACC0025,Malaysian RMAF,Warranty Claim,Medium,Closed,Rafale F4,2021-11-19,2022-02-19,92.0,False,Claire Vidal,Europe,Structural inspection due — spare needed
CAS00102,ACC0011,Thales Group,Delivery Delay,Medium,Escalated,Falcon 8X,2022-10-10,,,,Julie Petit,Asia,Engine vibration anomaly reported during training
CAS00103,ACC0012,Dassault Reliance Aerospace,Training Request,High,Escalated,Falcon 8X,2022-04-19,,,,Luc Fabre,Africa,Maintenance contract renewal query
CAS00104,ACC0023,Egyptian Air Force,Training Request,Medium,In Progress,Rafale F3-R,2020-02-12,,,,Pierre Renard,Europe,Avionics software update required
CAS00105,ACC0008,Croatian Air Force,Technical Issue,Low,Closed,Falcon 8X,2023-07-05,2023-12-07,155.0,False,Luc Fabre,Europe,Documentation missing for customs
CAS00106,ACC0003,Armée de l'Air française,Delivery Delay,High,Closed,Rafale F4,2024-07-05,2024-08-11,37.0,False,Thomas Laurent,Europe,Maintenance contract renewal query
CAS00107,ACC0016,Reliance Defence,Technical Issue,Low,Closed,Rafale F4,2024-08-19,2024-12-17,120.0,False,Pierre Renard,Middle East,Spare part not delivered on time
CAS00108,ACC0021,Boeing India,Technical Issue,Medium,Escalated,MRO Contract Rafale,2020-04-03,,,,Julie Petit,Asia,Spare part not delivered on time
CAS00109,ACC0012,Dassault Reliance Aerospace,Documentation,High,Closed,Rafale F4,2022-06-12,2022-12-04,175.0,False,Luc Fabre,Africa,Engine vibration anomaly reported during training
CAS00110,ACC0029,Finnish Air Force,Spare Part Urgent,Medium,Closed,Falcon 6X,2020-10-22,2021-01-12,82.0,False,Pierre Renard,Europe,Engine vibration anomaly reported during training
CAS00111,ACC0003,Armée de l'Air française,Delivery Delay,Low,Closed,Rafale F3-R,2022-06-06,2022-07-29,53.0,False,Luc Fabre,Europe,Structural inspection due — spare needed
CAS00112,ACC0017,GE Aviation India,Delivery Delay,Critical,In Progress,Falcon 8X,2023-07-08,,,,Julie Petit,Asia,Documentation missing for customs
CAS00113,ACC0022,Lockheed Martin India,Spare Part Urgent,Critical,Open,Rafale F4,2019-04-18,,,,Thomas Laurent,Africa,Documentation missing for customs
CAS00114,ACC0018,Honeywell India,Technical Issue,Low,Closed,Rafale F4,2023-03-05,2023-08-26,174.0,False,Luc Fabre,Europe,Structural inspection due — spare needed
CAS00115,ACC0005,Hellenic Air Force,Warranty Claim,Critical,Open,Falcon 6X,2022-06-01,,,,Luc Fabre,Europe,Spare part not delivered on time
CAS00116,ACC0017,GE Aviation India,Training Request,Medium,Closed,Falcon 6X,2021-12-08,2021-12-25,17.0,True,Julie Petit,Asia,Avionics software update required
CAS00117,ACC0021,Boeing India,Technical Issue,High,Escalated,MRO Contract Rafale,2021-02-23,,,,Thomas Laurent,Asia,Engine vibration anomaly reported during training
CAS00118,ACC0007,Indonesian Air Force,Delivery Delay,Medium,Closed,Falcon 6X,2020-06-09,2020-08-20,72.0,False,Claire Vidal,Asia,Spare part not delivered on time
CAS00119,ACC0024,Royal Saudi Air Force,Technical Issue,Critical,Closed,Falcon 8X,2021-04-19,2021-05-23,34.0,False,Luc Fabre,Middle East,Engine vibration anomaly reported during training
CAS00120,ACC0026,Singapore Air Force,Technical Issue,Critical,Closed,Falcon 8X,2019-03-27,2019-07-07,102.0,False,Luc Fabre,Middle East,Spare part not delivered on time
CAS00121,ACC0004,UAE Air Force,Documentation,Medium,Closed,Falcon 8X,2021-08-18,2021-11-12,86.0,False,Pierre Renard,Middle East,Engine vibration anomaly reported during training
CAS00122,ACC0024,Royal Saudi Air Force,Documentation,Medium,Closed,Rafale F4,2024-04-18,2024-05-26,38.0,False,Julie Petit,Middle East,Documentation missing for customs
CAS00123,ACC0014,HAL (Hindustan Aeronautics),Technical Issue,Medium,Open,MRO Contract Rafale,2024-03-16,,,,Julie Petit,Middle East,Structural inspection due — spare needed
CAS00124,ACC0019,Collins Aerospace India,Training Request,Medium,Closed,Falcon 6X,2024-07-27,2024-11-21,117.0,False,Claire Vidal,Europe,Engine vibration anomaly reported during training
